82,3,83,165,40,5,62,0,60,4,10,95,4,6,6,14,64,77,2,2,2,6,0,79,2,1,8,1,61,0,55,1,0
75,4,86,133,46,10,49,2,66,6,13,109,2,5,9,15,71,73,1,1,6,5,0,85,1,4,5,7,60,0,49,2,0
65,0,72,148,55,4,56,2,64,5,26,90,7,7,9,15,67,91,1,0,6,6,0,77,2,1,9,1,65,0,46,3,0
73,3,70,146,28,6,55,2,58,5,9,90,6,11,12,20,67,114,0,0,5,5,0,72,2,3,6,2,76,0,51,3,0
87,0,70,155,39,4,74,1,62,6,12,86,5,14,4,8,73,74,1,1,3,7,0,83,3,4,5,0,57,0,58,4,0
72,4,62,139,51,9,62,5,58,5,19,118,7,8,15,10,70,53,0,2,5,3,0,63,4,3,6,0,89,0,54,4,0
75,6,60,113,48,9,54,3,73,5,28,110,7,9,15,11,69,62,0,3,0,5,0,82,0,4,6,3,68,0,64,8,0
87,8,70,126,46,6,46,1,59,5,19,128,8,7,6,22,51,75,0,2,3,7,0,79,0,3,4,1,65,0,60,6,0
83,2,79,115,58,6,52,4,64,5,17,113,5,5,18,14,53,78,0,3,2,8,0,76,2,4,6,2,60,0,64,2,0
97,3,71,85,74,8,41,1,54,4,24,131,8,7,15,14,53,52,0,3,2,7,0,82,2,6,5,8,75,0,65,3,0
84,6,82,98,67,6,42,1,77,4,11,103,7,7,19,28,65,56,0,1,3,6,0,76,2,5,6,3,54,0,79,2,0
87,4,93,80,76,7,34,3,70,6,19,107,9,7,21,28,46,63,0,3,6,6,0,80,0,7,8,5,51,0,69,5,0
74,6,68,79,60,4,40,1,71,2,20,144,5,6,30,24,60,57,0,2,6,8,0,77,0,8,6,2,53,0,81,6,0
82,1,110,82,53,13,41,2,69,3,37,122,5,4,25,28,39,41,0,2,2,4,0,77,2,6,2,2,51,0,89,6,0
84,0,86,70,78,3,34,1,70,3,23,136,5,10,19,16,44,55,0,1,5,2,0,102,1,5,10,0,45,0,89,3,0
80,3,108,62,60,7,42,2,69,5,40,110,7,8,18,23,40,47,0,2,2,5,0,92,0,2,7,2,46,0,105,6,0
82,2,109,53,84,5,42,1,66,2,45,80,5,7,23,16,35,50,0,1,1,6,0,119,1,10,9,2,58,0,81,5,0
82,2,118,44,62,5,46,0,83,6,55,82,2,12,23,22,29,50,0,0,6,3,0,100,0,2,8,2,62,0,91,3,0
79,2,110,43,60,4,48,1,84,5,62,99,5,6,35,23,29,51,0,2,1,5,0,96,0,5,7,0,41,0,91,6,0
84,4,103,96,43,11,39,4,62,10,52,89,2,8,11,20,30,83,0,0,6,3,0,106,1,4,8,1,37,0,78,5,0
69,1,126,101,49,10,47,6,55,6,15,78,1,5,7,37,34,113,0,0,4,6,0,81,1,5,7,1,52,0,76,7,0
62,0,112,103,42,8,48,8,58,1,11,102,5,7,13,47,39,131,0,0,1,3,0,82,0,5,9,1,37,0,58,7,0
76,2,114,129,32,1,47,9,39,5,6,115,13,5,5,36,31,139,0,1,3,2,0,77,3,5,8,1,39,0,54,3,0
59,1,92,154,27,10,44,3,55,7,5,116,4,7,2,35,38,144,0,0,4,9,0,76,1,3,9,3,28,0,60,4,0
41,2,70,185,17,6,66,5,66,4,1,125,5,12,5,23,35,172,0,0,2,4,0,65,1,4,8,1,31,0,41,3,0
45,3,62,198,19,8,65,8,61,4,0,110,4,10,5,30,46,163,0,0,2,3,0,62,2,3,7,1,42,0,36,1,0
49,99,6,0,47,1,80,12,78,10,32,29,5,3,119,8,71,0,3,2,6,3,0,22,1,182,1,34,41,1,47,8,0
56,87,10,3,75,2,51,7,50,5,26,50,7,3,160,9,78,0,1,2,4,1,0,18,2,162,3,31,66,1,26,2,2
34,64,8,23,108,4,53,11,60,12,10,44,4,4,193,8,74,0,4,3,7,5,0,25,0,124,1,31,61,2,18,3,2
27,71,12,34,167,3,25,9,51,4,0,78,7,1,154,10,73,0,7,8,7,3,0,45,3,95,1,32,61,2,4,6,0
20,60,11,56,166,0,12,30,40,11,0,106,9,9,131,7,64,0,3,9,10,3,5,45,4,69,4,35,64,2,1,5,9
19,47,25,65,221,3,11,38,37,8,0,111,8,16,110,6,45,0,4,6,7,2,2,34,4,59,3,42,55,1,4,5,2
6,56,15,73,199,1,11,34,30,15,1,156,4,12,108,5,42,0,4,10,6,1,2,51,5,48,2,45,49,2,1,4,2
20,63,26,81,142,2,14,43,48,11,2,132,3,18,111,2,26,3,4,7,7,1,4,51,5,67,2,33,52,4,3,6,7
11,60,31,98,112,0,10,54,42,13,3,115,5,20,139,4,30,5,4,5,8,1,3,52,0,68,2,47,37,5,6,3,7
